timestamp,gender,A00-A04,A05-A14,A15-A34,A35-A59,A60-A79,A80+,ALL
1613174400,F,3,7,26,58,27,20,141
1613174400,M,2,5,33,47,33,18,138
1613260800,A,4,12,30,53,33,17,149
1613260800,F,1,8,13,28,17,12,79
1613260800,M,3,4,17,25,16,5,70
1613347200,A,4,8,48,88,65,49,262
1613347200,F,2,6,24,46,37,35,150
1613347200,M,2,2,24,42,28,14,112
1613433600,A,10,16,93,211,119,63,512
1613433600,F,3,10,54,122,56,36,281
1613433600,M,7,6,39,89,63,27,231
1613520000,A,12,14,112,208,126,89,561
1613520000,F,8,5,61,122,64,62,322
1613520000,M,4,9,51,86,62,27,239
1613606400,A,11,24,98,201,109,56,499
1613606400,F,4,15,52,94,51,34,250
1613606400,M,7,9,46,107,58,22,249
1613692800,A,5,21,92,169,76,59,422
1613692800,F,2,9,47,86,38,43,225
1613692800,M,3,12,45,83,38,16,197
1613779200,A,10,11,87,130,52,40,330
1613779200,F,5,5,42,64,29,25,170
1613779200,M,5,6,45,66,23,15,160
1613865600,A,1,2,33,72,32,20,160
1613865600,F,1,1,18,41,17,8,86
1613865600,M,0,1,15,31,15,12,74
1613952000,A,4,10,53,86,35,28,216
1613952000,F,1,4,37,42,20,22,126
1613952000,M,3,6,16,44,15,6,90
1614038400,A,16,14,81,218,108,60,497
1614038400,F,11,8,45,126,67,36,293
1614038400,M,5,6,36,92,41,24,204
1614124800,A,15,25,121,228,137,96,622
1614124800,F,10,17,59,148,58,69,361
1614124800,M,5,8,62,80,79,27,261
1614211200,A,11,32,112,186,100,54,495
1614211200,F,6,16,60,102,49,30,263
1614211200,M,5,16,52,84,51,24,232
1614297600,A,9,23,96,165,129,49,471
1614297600,F,7,12,57,100,59,28,263
1614297600,M,2,11,39,65,70,21,208
1614384000,A,11,24,59,142,74,27,337
1614384000,F,8,16,27,77,34,20,182
1614384000,M,3,8,32,65,40,7,155
1614470400,A,7,11,30,50,21,8,127
1614470400,F,2,6,16,25,11,5,65
1614470400,M,5,5,14,25,10,3,62
1614556800,A,8,16,47,74,50,32,227
1614556800,F,3,8,21,42,25,20,119
1614556800,M,5,8,26,32,25,12,108
1614643200,A,19,48,95,210,87,39,498
1614643200,F,6,21,50,116,38,27,258
1614643200,M,13,27,45,94,49,12,240
1614729600,A,28,83,151,251,131,41,685
1614729600,F,16,34,84,136,66,28,364
1614729600,M,12,49,67,115,65,13,321
1614816000,A,35,45,95,219,84,35,513
1614816000,F,19,22,50,129,47,26,293
1614816000,M,16,23,45,89,37,9,219
1614902400,A,32,38,87,172,91,40,460
1614902400,F,16,15,48,92,49,27,247
1614902400,M,16,23,39,80,42,13,213
1614988800,A,25,54,83,159,70,27,418
1614988800,F,13,30,40,86,44,18,231
1614988800,M,12,24,43,73,26,9,187
1615075200,A,13,15,31,55,27,17,158
1615075200,F,5,8,17,29,12,11,82
1615075200,M,8,7,14,26,15,6,76
1615161600,A,5,17,51,103,39,36,251
1615161600,F,1,3,32,50,22,17,125
1615161600,M,4,14,19,53,17,19,126
1615248000,A,28,53,109,218,107,42,557
1615248000,F,16,24,60,121,59,28,308
1615248000,M,12,29,49,97,48,14,249
1615334400,A,34,63,155,315,128,61,756
1615334400,F,15,34,82,168,68,43,410
1615334400,M,19,29,73,146,60,18,345
1615420800,A,48,81,145,266,106,55,701
1615420800,F,28,43,81,162,54,40,408
1615420800,M,20,38,64,104,52,15,293
1615507200,A,20,60,130,230,94,34,568
1615507200,F,10,22,71,123,48,23,297
1615507200,M,10,38,59,107,46,11,271
1615593600,A,25,44,131,222,101,34,557
