Timestamp,Altersgruppe,7T_Hospitalisierung_Faelle,7T_Hospitalisierung_Inzidenz,Hospitalisierung_Faelle
1587686400,60-79,36,6.44,5.14
1587686400,80+,32,17.86,4.57
1587772800,00+,86,4.06,12.29
1587772800,00-04,1,1.14,0.14
1587772800,05-14,1,0.54,0.14
1587772800,15-34,2,0.52,0.29
1587772800,35-59,11,1.52,1.57
1587772800,60-79,38,6.79,5.43
1587772800,80+,33,18.42,4.71
1587859200,00+,84,3.96,12.00
1587859200,00-04,1,1.14,0.14
1587859200,05-14,1,0.54,0.14
1587859200,15-34,3,0.77,0.43
1587859200,35-59,11,1.52,1.57
1587859200,60-79,39,6.97,5.57
1587859200,80+,29,16.19,4.14
1587945600,00+,83,3.91,11.86
1587945600,00-04,1,1.14,0.14
1587945600,05-14,1,0.54,0.14
1587945600,15-34,3,0.77,0.43
1587945600,35-59,11,1.52,1.57
1587945600,60-79,39,6.97,5.57
1587945600,80+,28,15.63,4.00
1588032000,00+,76,3.58,10.86
1588032000,00-04,1,1.14,0.14
1588032000,05-14,1,0.54,0.14
1588032000,15-34,1,0.26,0.14
1588032000,35-59,12,1.66,1.71
1588032000,60-79,36,6.44,5.14
1588032000,80+,25,13.95,3.57
1588118400,00+,81,3.82,11.57
1588118400,00-04,1,1.14,0.14
1588118400,05-14,0,0.00,0.00
1588118400,15-34,1,0.26,0.14
1588118400,35-59,10,1.38,1.43
1588118400,60-79,38,6.79,5.43
1588118400,80+,31,17.30,4.43
1588204800,00+,79,3.73,11.29
1588204800,00-04,1,1.14,0.14
1588204800,05-14,0,0.00,0.00
1588204800,15-34,1,0.26,0.14
1588204800,35-59,10,1.38,1.43
1588204800,60-79,39,6.97,5.57
1588204800,80+,28,15.63,4.00
1588291200,00+,86,4.06,12.29
1588291200,00-04,0,0.00,0.00
1588291200,05-14,0,0.00,0.00
1588291200,15-34,2,0.52,0.29
1588291200,35-59,11,1.52,1.57
1588291200,60-79,38,6.79,5.43
1588291200,80+,35,19.53,5.00
1588377600,00+,78,3.68,11.14
1588377600,00-04,0,0.00,0.00
1588377600,05-14,0,0.00,0.00
1588377600,15-34,2,0.52,0.29
1588377600,35-59,8,1.11,1.14
1588377600,60-79,34,6.08,4.86
1588377600,80+,34,18.98,4.86
1588464000,00+,76,3.58,10.86
1588464000,00-04,0,0.00,0.00
1588464000,05-14,0,0.00,0.00
1588464000,15-34,1,0.26,0.14
1588464000,35-59,8,1.11,1.14
1588464000,60-79,32,5.72,4.57
1588464000,80+,35,19.53,5.00
1588550400,00+,74,3.49,10.57
1588550400,00-04,0,0.00,0.00
1588550400,05-14,0,0.00,0.00
1588550400,15-34,1,0.26,0.14
1588550400,35-59,8,1.11,1.14
1588550400,60-79,32,5.72,4.57
1588550400,80+,33,18.42,4.71
1588636800,00+,70,3.30,10.00
1588636800,00-04,0,0.00,0.00
1588636800,05-14,0,0.00,0.00
1588636800,15-34,1,0.26,0.14
1588636800,35-59,7,0.97,1.00
1588636800,60-79,28,5.01,4.00
1588636800,80+,34,18.98,4.86
1588723200,00+,57,2.69,8.14
1588723200,00-04,0,0.00,0.00
1588723200,05-14,0,0.00,0.00
1588723200,15-34,1,0.26,0.14
1588723200,35-59,8,1.11,1.14
1588723200,60-79,22,3.93,3.14
1588723200,80+,26,14.51,3.71
1588809600,00+,64,3.02,9.14
1588809600,00-04,0,0.00,0.00
1588809600,05-14,0,0.00,0.00
1588809600,15-34,2,0.52,0.29
1588809600,35-59,6,0.83,0.86
1588809600,60-79,20,3.58,2.86
1588809600,80+,36,20.09,5.14
1588896000,00+,55,2.59,7.86
1588896000,00-04,0,0.00,0.00
1588896000,05-14,0,0.00,0.00
1588896000,15-34,1,0.26,0.14
1588896000,35-59,4,0.55,0.57
1588896000,60-79,16,2.86,2.29
1588896000,80+,34,18.98,4.86
1588982400,00+,57,2.69,8.14
1588982400,00-04,0,0.00,0.00
1588982400,05-14,0,0.00,0.00
1588982400,15-34,1,0.26,0.14
1588982400,35-59,5,0.69,0.71
1588982400,60-79,16,2.86,2.29
1588982400,80+,35,19.53,5.00
1589068800,00+,60,2.83,8.57
1589068800,00-04,0,0.00,0.00
1589068800,05-14,0,0.00,0.00
1589068800,15-34,2,0.52,0.29
1589068800,35-59,5,0.69,0.71
1589068800,60-79,17,3.04,2.43
1589068800,80+,36,20.09,5.14
1589155200,00+,62,2.92,8.86
1589155200,00-04,0,0.00,0.00
1589155200,05-14,0,0.00,0.00
1589155200,15-34,2,0.52,0.29
1589155200,35-59,5,0.69,0.71
1589155200,60-79,18,3.22,2.57
1589155200,80+,37,20.65,5.29
1589241600,00+,67,3.16,9.57
1589241600,00-04,0,0.00,0.00
1589241600,05-14,0,0.00,0.00
1589241600,15-34,2,0.52,0.29
1589241600,35-59,6,0.83,0.86
1589241600,60-79,17,3.04,2.43
1589241600,80+,42,23.44,6.00
1589328000,00+,67,3.16,9.57
1589328000,00-04,0,0.00,0.00
1589328000,05-14,0,0.00,0.00
1589328000,15-34,4,1.03,0.57
1589328000,35-59,6,0.83,0.86
1589328000,60-79,18,3.22,2.57
1589328000,80+,39,21.77,5.57
1589414400,00+,55,2.59,7.86
1589414400,00-04,0,0.00,0.00
1589414400,05-14,0,0.00,0.00
1589414400,15-34,4,1.03,0.57
1589414400,35-59,7,0.97,1.00
1589414400,60-79,14,2.50,2.00
1589414400,80+,30,16.74,4.29
1589500800,00+,50,2.36,7.14
1589500800,00-04,0,0.00,0.00
1589500800,05-14,0,0.00,0.00
1589500800,15-34,4,1.03,0.57
1589500800,35-59,7,0.97,1.00
1589500800,60-79,14,2.50,2.00
1589500800,80+,25,13.95,3.57
1589587200,00+,53,2.50,7.57
1589587200,00-04,0,0.00,0.00
1589587200,05-14,0,0.00,0.00
1589587200,15-34,5,1.29,0.71
1589587200,35-59,6,0.83,0.86
1589587200,60-79,17,3.04,2.43
1589587200,80+,25,13.95,3.57
1589673600,00+,48,2.26,6.86
1589673600,00-04,0,0.00,0.00
1589673600,05-14,2,1.09,0.29
1589673600,15-34,4,1.03,0.57
1589673600,35-59,5,0.69,0.71
1589673600,60-79,15,2.68,2.14
1589673600,80+,22,12.28,3.14
1589760000,00+,46,2.17,6.57
1589760000,00-04,0,0.00,0.00
1589760000,05-14,2,1.09,0.29
1589760000,15-34,4,1.03,0.57
1589760000,35-59,5,0.69,0.71
1589760000,60-79,14,2.50,2.00
1589760000,80+,21,11.72,3.00
1589846400,00+,38,1.79,5.43
1589846400,00-04,0,0.00,0.00
1589846400,05-14,2,1.09,0.29
1589846400,15-34,4,1.03,0.57
1589846400,35-59,4,0.55,0.57
1589846400,60-79,14,2.50,2.00
1589846400,80+,14,7.81,2.00
1589932800,00+,33,1.56,4.71
1589932800,00-04,0,0.00,0.00
1589932800,05-14,2,1.09,0.29
1589932800,15-34,2,0.52,0.29
1589932800,35-59,2,0.28,0.29
1589932800,60-79,12,2.15,1.71
1589932800,80+,15,8.37,2.14
1590019200,00+,28,1.32,4.00
1590019200,00-04,0,0.00,0.00
1590019200,05-14,2,1.09,0.29
1590019200,15-34,1,0.26,0.14
1590019200,35-59,1,0.14,0.14
1590019200,60-79,11,1.97,1.57
1590019200,80+,13,7.26,1.86
1590105600,00+,26,1.23,3.71
1590105600,00-04,0,0.00,0.00
1590105600,05-14,2,1.09,0.29
1590105600,15-34,1,0.26,0.14
1590105600,35-59,1,0.14,0.14
1590105600,60-79,11,1.97,1.57
1590105600,80+,11,6.14,1.57
1590192000,00+,25,1.18,3.57
1590192000,00-04,0,0.00,0.00
1590192000,05-14,2,1.09,0.29
1590192000,15-34,0,0.00,0.00
1590192000,35-59,1,0.14,0.14
1590192000,60-79,10,1.79,1.43
1590192000,80+,12,6.70,1.71
1590278400,00+,23,1.08,3.29
1590278400,00-04,0,0.00,0.00
1590278400,05-14,0,0.00,0.00
1590278400,15-34,0,0.00,0.00
1590278400,35-59,1,0.14,0.14
1590278400,60-79,9,1.61,1.29
1590278400,80+,13,7.26,1.86
1590364800,00+,23,1.08,3.29
1590364800,00-04,0,0.00,0.00
1590364800,05-14,0,0.00,0.00
1590364800,15-34,0,0.00,0.00
1590364800,35-59,1,0.14,0.14
1590364800,60-79,9,1.61,1.29
1590364800,80+,13,7.26,1.86
1590451200,00+,24,1.13,3.43
1590451200,00-04,0,0.00,0.00
1590451200,05-14,0,0.00,0.00
1590451200,15-34,0,0.00,0.00
1590451200,35-59,2,0.28,0.29
1590451200,60-79,9,1.61,1.29
1590451200,80+,13,7.26,1.86
1590537600,00+,26,1.23,3.71
1590537600,00-04,0,0.00,0.00
1590537600,05-14,0,0.00,0.00
1590537600,15-34,0,0.00,0.00
1590537600,35-59,2,0.28,0.29
1590537600,60-79,12,2.15,1.71
1590537600,80+,12,6.70,1.71
1590624000,00+,27,1.27,3.86
1590624000,00-04,0,0.00,0.00
1590624000,05-14,0,0.00,0.00
1590624000,15-34,0,0.00,0.00
1590624000,35-59,1,0.14,0.14
1590624000,60-79,13,2.32,1.86
1590624000,80+,13,7.26,1.86
1590710400,00+,31,1.46,4.43
