Timestamp,Altersgruppe,7T_Hospitalisierung_Inzidenz,7T_Inzidenz
1593129600,60-79,0.18,-1.00
1593129600,80+,3.35,-1.00
1593216000,00-04,0.00,-1.00
1593216000,05-14,0.00,-1.00
1593216000,15-34,0.00,-1.00
1593216000,35-59,0.42,-1.00
1593216000,60-79,0.18,-1.00
1593216000,80+,4.47,-1.00
1593302400,00-04,0.00,3.95
1593302400,05-14,0.00,0.47
1593302400,15-34,0.00,1.26
1593302400,35-59,0.42,1.67
1593302400,60-79,0.00,1.50
1593302400,80+,3.35,5.06
1593388800,00-04,0.00,3.64
1593388800,05-14,0.00,0.47
1593388800,15-34,0.00,1.22
1593388800,35-59,0.42,1.50
1593388800,60-79,0.00,1.35
1593388800,80+,3.35,4.80
1593475200,00-04,0.00,3.32
1593475200,05-14,0.00,0.47
1593475200,15-34,0.00,1.08
1593475200,35-59,0.28,1.30
1593475200,60-79,0.00,1.20
1593475200,80+,2.23,4.55
1593561600,00-04,0.00,3.01
1593561600,05-14,0.00,0.47
1593561600,15-34,0.00,1.08
1593561600,35-59,0.28,1.19
1593561600,60-79,0.36,1.07
1593561600,80+,1.67,4.21
1593648000,00-04,0.00,-1.00
1593648000,05-14,0.00,-1.00
1593648000,15-34,0.00,-1.00
1593648000,35-59,0.28,-1.00
1593648000,60-79,0.36,-1.00
1593648000,80+,1.67,-1.00
1593734400,00-04,0.00,2.37
1593734400,05-14,0.00,0.63
1593734400,15-34,0.00,1.08
1593734400,35-59,0.14,1.21
1593734400,60-79,0.54,1.02
1593734400,80+,1.67,3.96
1593820800,00-04,0.00,1.74
1593820800,05-14,0.00,0.79
1593820800,15-34,0.00,1.08
1593820800,35-59,0.00,1.17
1593820800,60-79,0.54,1.04
1593820800,80+,0.56,3.71
1593907200,00-04,0.00,1.27
1593907200,05-14,0.00,0.94
1593907200,15-34,0.00,1.26
1593907200,35-59,0.14,1.13
1593907200,60-79,0.54,0.99
1593907200,80+,1.12,3.20
1593993600,00-04,0.00,0.79
1593993600,05-14,0.00,1.18
1593993600,15-34,0.00,1.44
1593993600,35-59,0.14,1.13
1593993600,60-79,0.54,1.07
1593993600,80+,1.12,2.78
1594080000,00-04,0.00,0.79
1594080000,05-14,0.00,1.10
1594080000,15-34,0.00,1.66
1594080000,35-59,0.14,1.11
1594080000,60-79,0.54,1.15
1594080000,80+,1.67,2.53
1594166400,00-04,0.00,0.79
1594166400,05-14,0.00,1.02
1594166400,15-34,0.00,1.87
1594166400,35-59,0.14,1.11
1594166400,60-79,0.36,1.27
1594166400,80+,1.67,2.44
1594252800,00-04,0.00,0.79
1594252800,05-14,0.00,0.94
1594252800,15-34,0.00,1.87
1594252800,35-59,0.14,0.95
1594252800,60-79,0.54,1.35
1594252800,80+,1.67,2.28
1594339200,00-04,0.00,0.95
1594339200,05-14,0.00,0.86
1594339200,15-34,0.00,1.98
1594339200,35-59,0.14,0.76
1594339200,60-79,0.54,1.43
1594339200,80+,1.12,2.11
1594425600,00-04,0.00,1.11
1594425600,05-14,0.00,0.79
1594425600,15-34,0.00,2.09
1594425600,35-59,0.14,0.62
1594425600,60-79,0.54,1.43
1594425600,80+,1.12,2.02
1594512000,00-04,0.00,0.95
1594512000,05-14,0.00,0.71
1594512000,15-34,0.00,1.98
1594512000,35-59,0.00,0.53
1594512000,60-79,0.54,1.53
1594512000,80+,1.12,1.94
1594598400,00-04,0.00,0.79
1594598400,05-14,0.00,0.47
1594598400,15-34,0.00,1.87
1594598400,35-59,0.00,0.53
1594598400,60-79,0.54,1.48
